Title,Year,Velocity
Alita: Battle Angel,(2019),"1
(no change)
"
Aladdin,(2019),"15
(

13)
"
Bohemian Rhapsody,(2018),"2
(

1)
"
A Star Is Born,(2018),"3
(

8)
"
Green Book,(2018),"4
(

3)
"
Child's Play,(2019),"107
(

102)
"
The Favourite,(2018),"5
(

1)
"
Fighting with My Family,(2019),"6
(

17)
"
Captain Marvel,(2019),"8
(

10)
"
Spider-Man: Into the Spider-Verse,(2018),"9
(

33)
"
How to Train Your Dragon: The Hidden World,(2019),"11
(

15)
"
Avengers: Endgame,(2019),"13
(

4)
"
Tolkien,(2019),"91
(

77)
"
Roma,(2018),"14
(

10)
"
Frozen II,(2019),"51
(

36)
"
Serenity,(2019),"16
(

95)
"
Instant Family,(2018),"17
(

85)
"
Happy Death Day 2U,(2019),"18
(

1)
"
Gully Boy,(2019),"19
(

16)
"
Polar,(2019),"20
(

12)
"
The Lego Movie 2: The Second Part,(2019),"21
(

15)
"
After,(2019),"12
(

10)
"
Mary Queen of Scots,(2018),"22
(

37)
"
Overlord,(2018),"23
(

11)
"
Creed II,(2018),"24
(

1)
"
Cold Pursuit,(2019),"25
(

9)
"
Deadpool 2,(2018),"26
(

69)
"
Vice,(2018),"27
(

6)
"
Fantastic Beasts: The Crimes of Grindelwald,(2018),"28
(

22)
"
Yesterday,(2019),"42
(

13)
"
Isn't It Romantic,(2019),"29
(

9)
"
BlacKkKlansman,(2018),"30
(

6)
"
Joker,(2019),"32
(

1)
"
Aquaman,(2018),"31
(

10)
"
Once Upon a Time in Hollywood,(2019),"33
(

5)
"
Liu Lang Di Qiu,(2019),"34
(

21)
"
Ralph Breaks the Internet,(2018),"35
(

2)
"
Glass,(2019),"36
(

17)
"
Velvet Buzzsaw,(2019),"37
(

27)
"
"Extremely Wicked, Shockingly Evil, and Vile",(2019),"58
(

20)
"
Robin Hood,(2018),"38
(

6)
"
The Possession of Hannah Grace,(2018),"39
(

260)
"
Avengers: Infinity War,(2018),"40
(

3)
"
Abducted in Plain Sight,(2017),"43
(

2)
"
Incredibles 2,(2018),"44
(

17)
"
Widows,(2018),"45
(

15)
"
Can You Ever Forgive Me?,(2018),"46
(

5)
"
Terminator: Dark Fate,(2019),"64
(

17)
"
Mortal Engines,(2018),"47
(

7)
"
The Hustle,(2019),"147
(

99)
"
Black Panther,(2018),"48
(

8)
"
Godzilla: King of the Monsters,(2019),"49
(

167)
"
Bird Box,(2018),"50
(

6)
"
What Men Want,(2019),"52
(

18)
"
Ben Is Back,(2018),"53
(

565)
"
The Highwaymen,(2019),"54
(

1,288)
"
Pet Sematary,(2019),"137
(

82)
"
Total Dhamaal,(2019),"55
(

247)
"
The Prodigy,(2019),"56
(

15)
"
Climax,(2018),"57
(no change)
"
First Man,(2018),"59
(

5)
"
The Ballad of Buster Scruggs,(2018),"60
(

2)
"
Happy Death Day,(2017),"62
(

10)
"
Dumbo,(2019),"183
(

120)
"
Venom,(2018),"63
(

2)
"
The Greatest Showman,(2017),"65
(

6)
"
Dune,(2020),"61
(

5)
"
Us,(2019),"66
(

6)
"
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),(2020),"174
(

107)
"
Arctic,(2018),"67
(

65)
"
The Wife,(2017),"69
(

16)
"
The Lion King,(2019),"104
(

34)
"
Zimna wojna,(2018),"70
(

30)
"
The Upside,(2017),"72
(

14)
"
Trading Paint,(2019),"73
(

176)
"
The Mighty Ducks,(1992),"74
(

568)
"
Crazy Rich Asians,(2018),"75
(

26)
"
Bad Times at the El Royale,(2018),"77
(

9)
"
If Beale Street Could Talk,(2018),"79
(

14)
"
A Quiet Place,(2018),"80
(

19)
"
The Curse of La Llorona,(2019),"241
(

160)
"
Solo: A Star Wars Story,(2018),"81
(

8)
"
Suspiria,(2018),"82
(

18)
"
It's a Mad Mad Mad Mad World,(1963),"83
(

1,240)
"
Shaft,(2019),"432
(

348)
"
Ready Player One,(2018),"84
(

9)
"
The Mule,(2018),"85
(

20)
"
It: Chapter Two,(2019),"87
(

1)
"
Hereditary,(2018),"86
(

34)
"
Der Untergang,(2004),"88
(

1,120)
"
At Eternity's Gate,(2018),"89
(

1)
"
Scary Stories to Tell in the Dark,(2019),"223
(

131)
"
Escape Room,(2019),"92
(

39)
"
The Girl in the Spider's Web,(2018),"93
(

24)
"
Ant-Man and the Wasp,(2018),"94
(

22)
"
The Breaker Upperers,(2018),"95
(

456)
"
The Final Wish,(2018),"458
(

362)
"
Ocean's Eight,(2018),"96
(

20)
"
Gräns,(2018),"97
(

17)
"
Spider-Man: Far From Home,(2019),"90
(

8)
"
